area_fips,area_title
23001,"Androscoggin County, Maine"
23003,"Aroostook County, Maine"
23005,"Cumberland County, Maine"
23007,"Franklin County, Maine"
23009,"Hancock County, Maine"
23011,"Kennebec County, Maine"
23013,"Knox County, Maine"
23015,"Lincoln County, Maine"
23017,"Oxford County, Maine"
23019,"Penobscot County, Maine"
23021,"Piscataquis County, Maine"
23023,"Sagadahoc County, Maine"
23025,"Somerset County, Maine"
23027,"Waldo County, Maine"
23029,"Washington County, Maine"
23031,"York County, Maine"
23996,Overseas Locations -- Maine
23998,"Out-of-State, Maine"
23999,"Unknown Or Undefined, Maine"
